file	sum	amin	amax	ptp	percentile10	mean	median	std	var
planetlab-workload-traces/20110303/planetlab1_unineuchatel_ch_root	484	0	8	8	0.0	1.6805555555555556	2.0	1.7820586479382086	3.1757330246913558
planetlab-workload-traces/20110303/ds-pl3_technion_ac_il_neclabs_neclc	3818	0	44	44	0.0	13.256944444444445	9.0	12.024423367889495	144.58675733024697
planetlab-workload-traces/20110303/evghu4_colbud_hu_uw_oneswarm	3715	4	35	31	6.0	12.899305555555555	12.0	6.0941911837760347	37.139166184413547
planetlab-workload-traces/20110303/planetlab2_uta_edu_nyu_d	406	0	12	12	0.0	1.4097222222222223	2.0	1.6911255063995239	2.8599054783950462
planetlab-workload-traces/20110303/onelab09_pl_sophia_inria_fr_root	1307	0	95	95	0.0	4.5381944444444446	2.0	11.405952981081233	130.09576340663585
planetlab-workload-traces/20110303/planetlab-1_sysu_edu_cn_uw_oneswarm	3260	2	32	30	4.0	11.319444444444445	10.0	5.467902271156059	29.897955246913586
planetlab-workload-traces/20110303/planet2_l3s_uni-hannover_de_uw_oneswarm	10954	11	62	51	24.0	38.034722222222221	38.0	10.431598094814067	108.81823881172848
planetlab-workload-traces/20110303/planetlab-2_pdl_nudt_edu_cn_uw_oneswarm	2998	0	42	42	4.0	10.409722222222221	10.0	5.7347783964311017	32.887683256172878
planetlab-workload-traces/20110303/planet03_csc_ncsu_edu_uw_trs2	1251	0	88	88	0.0	4.34375	2.0	7.8472767635764358	61.579752604166664
planetlab-workload-traces/20110303/147-179_surfsnel_dsl_internl_net_uw_oneswarm	633	0	35	35	0.0	2.1979166666666665	2.0	2.8466102831555067	8.103190104166675
planetlab-workload-traces/20110303/node1_planetlab_albany_edu_yale_p4p	15413	0	95	95	25.0	53.517361111111114	57.0	20.994535763506516	440.77053192515405
planetlab-workload-traces/20110303/planet2_l3s_uni-hannover_de_uw_trs2	3377	0	44	44	0.0	11.725694444444445	7.0	12.284154464456877	150.90045090663583
planetlab-workload-traces/20110303/planetlab-1_sjtu_edu_cn_uw_oneswarm	4582	2	68	66	8.0	15.909722222222221	15.0	7.7838982614793801	60.589072145061721
planetlab-workload-traces/20110303/planetlab2_thlab_net_uw_oneswarm	2461	0	43	43	3.0	8.5451388888888893	7.0	5.6994801159246942	32.484073591820966
planetlab-workload-traces/20110303/miranda_planetlab_cs_umd_edu_ rnp_dcc_ufjf	10237	19	39	20	32.0	35.545138888888886	37.0	2.9810822480432773	8.8868513695987605
planetlab-workload-traces/20110303/ricepl-1_cs_rice_edu_nyu_d	392	0	11	11	0.0	1.3611111111111112	1.0	1.6608695476529705	2.7584876543209829
planetlab-workload-traces/20110303/planet1_scs_stanford_edu_uw_trs2	2075	0	24	24	1.0	7.2048611111111107	6.0	5.4958675114063773	30.20455970293213
planetlab-workload-traces/20110303/planet1_l3s_uni-hannover_de_ucr_slice2	467	0	7	7	0.0	1.6215277777777777	2.0	1.2129889160002683	1.4713421103395057
planetlab-workload-traces/20110303/chronos_disy_inf_uni-konstanz_de_uw_oneswarm	2889	0	40	40	3.0	10.03125	9.0	6.3285943755966327	40.051106770833329
planetlab-workload-traces/20110303/planetlab3_hiit_fi_uw_oneswarm	3789	0	68	68	6.0	13.15625	12.0	6.7633532399698826	45.742947048611107
planetlab-workload-traces/20110303/planetlab1_cnds_jhu_edu_root	4283	0	71	71	0.0	14.871527777777779	4.0	17.679657814665777	312.57030044367269
planetlab-workload-traces/20110303/planetlab-2_cs_ucy_ac_cy_princeton_codeen	4155	0	84	84	6.0	14.427083333333334	13.0	9.6803905364143219	93.709960937499957
planetlab-workload-traces/20110303/chronos_disy_inf_uni-konstanz_de_root	814	0	76	76	0.0	2.8263888888888888	2.0	6.7575368017157826	45.664303626543173
planetlab-workload-traces/20110303/chronos_disy_inf_uni-konstanz_de_tum_i2p	857	0	29	29	0.0	2.9756944444444446	2.0	3.8679729569277952	14.961214795524752
planetlab-workload-traces/20110303/planetlab2_upm_ro_uw_oneswarm	2984	0	41	41	3.0	10.361111111111111	9.0	6.3744401836020836	40.633487654320966
planetlab-workload-traces/20110303/server3_planetlab_iit-tech_net_uw_oneswarm	3320	0	60	60	6.0	11.527777777777779	10.0	6.4338994185792995	41.395061728395042
planetlab-workload-traces/20110303/plink_cs_uwaterloo_ca_root	796	0	24	24	0.0	2.7638888888888888	2.0	2.5151930318872782	6.3261959876543177
planetlab-workload-traces/20110303/pli1-pa-5_hpl_hp_com_uw_oneswarm	2436	0	50	50	2.0	8.4583333333333339	8.0	5.7280680764886984	32.810763888888935
planetlab-workload-traces/20110303/planetlab2_arizona-gigapop_net_root	1097	0	89	89	0.0	3.8090277777777777	2.0	8.4808805654775661	71.925335165895092
planetlab-workload-traces/20110303/planetlab1_hiit_fi_nyu_d	823	0	43	43	0.0	2.8576388888888888	2.0	3.7329069671174975	13.934594425154353
planetlab-workload-traces/20110303/planetlab3_eecs_umich_edu_nyu_d	395	0	8	8	0.0	1.3715277777777777	2.0	1.6064610516098776	2.5807171103395139
planetlab-workload-traces/20110303/planet1_l3s_uni-hannover_de_nyu_d	1074	0	22	22	0.0	3.7291666666666665	3.0	3.6318780533553841	13.190538194444494
planetlab-workload-traces/20110303/planetlab1_unineuchatel_ch_usf_mobius_dm	364	0	6	6	0.0	1.2638888888888888	2.0	1.2189824485514722	1.4859182098765424
planetlab-workload-traces/20110303/server2_planetlab_iit-tech_net_nyu_d	417	0	17	17	0.0	1.4479166666666667	1.0	1.8793641341185348	3.5320095486111098
planetlab-workload-traces/20110303/planetlab-2_cs_colostate_edu_ rnp_dcc_ufjf	9717	12	38	26	29.700000000000003	33.739583333333336	35.0	3.8709516262872055	14.984266493055561
planetlab-workload-traces/20110303/metis_mcs_suffolk_edu_ yale_p4p	4854	12	23	11	16.0	16.854166666666668	17.0	1.1958768865471785	1.4301215277777735
planetlab-workload-traces/20110303/planetlab4_cse_nd_edu_nyu_d	488	0	11	11	0.0	1.6944444444444444	2.0	1.6740576859243737	2.8024691358024687
planetlab-workload-traces/20110303/merkur_planetlab_haw-hamburg_de_ yale_p4p	4381	12	18	6	14.0	15.211805555555555	15.0	1.0139305071366924	1.0280550733024705
planetlab-workload-traces/20110303/planetdev04_fm_intel_com_rnp_dcc_ufjf	10256	13	86	73	21.700000000000003	35.611111111111114	34.0	12.607929113982587	158.95987654320976
planetlab-workload-traces/20110303/venus_silicon-valley_ru_uw_oneswarm	836	0	26	26	0.0	2.9027777777777777	2.0	3.1541847081043755	9.948881172839485
planetlab-workload-traces/20110303/planetlab1_byu_edu_tum_i2p	705	0	25	25	0.0	2.4479166666666665	2.0	3.2227590997897693	10.386176215277764
planetlab-workload-traces/20110303/plab1-c703_uibk_ac_at_root	3654	0	93	93	0.0	12.6875	6.0	20.847318222815453	434.61067708333331
planetlab-workload-traces/20110303/planetlab2_pc_cis_udel_edu_cambridge_spe24	2124	0	42	42	0.0	7.375	8.0	4.2880243443546089	18.387152777777775
planetlab-workload-traces/20110303/planet-lab1_ufabc_edu_br_nyu_d	367	0	5	5	0.0	1.2743055555555556	2.0	1.2490689047678749	1.5601731288580183
planetlab-workload-traces/20110303/plab-2_sinp_msu_ru_uw_seattle	486	0	19	19	0.0	1.6875	2.0	2.2514462944220246	5.0690104166666661
planetlab-workload-traces/20110303/planetlab1_singaren_net_sg_root	552	0	24	24	0.0	1.9166666666666667	1.0	2.8406767581765573	8.0694444444444748
planetlab-workload-traces/20110303/planet2_l3s_uni-hannover_de_nyu_d	977	0	23	23	1.0	3.3923611111111112	3.0	3.163739433476171	10.009247202932125
planetlab-workload-traces/20110303/plab2_engr_sjsu_edu_root	3461	0	90	90	0.0	12.017361111111111	4.0	20.061097060193088	402.44761525848782
planetlab-workload-traces/20110303/planetlab3_inf_ethz_ch_uw_oneswarm	2833	0	33	33	4.0	9.8368055555555554	9.0	5.4228585958957307	29.407395351080215
planetlab-workload-traces/20110303/plab-2_sinp_msu_ru_irisaple_wup	842	0	10	10	2.0	2.9236111111111112	2.0	1.6628283347921557	2.7649980709876538
planetlab-workload-traces/20110303/planetlab2_koganei_wide_ad_jp_usf_mobius_dm	735	0	23	23	2.0	2.5520833333333335	2.0	1.9357911370777818	3.7472873263888919
planetlab-workload-traces/20110303/pads23_cs_nthu_edu_tw_princeton_codeen	758	0	14	14	0.0	2.6319444444444446	2.0	2.082488254527961	4.3367573302469138
planetlab-workload-traces/20110303/pl1_cs_yale_edu_ rnp_dcc_ufjf	6754	11	31	20	18.0	23.451388888888889	24.5	4.7767228728827247	22.817081404320994
planetlab-workload-traces/20110303/osiris_planetlab_cs_umd_edu_irisaple_wup	388	0	14	14	0.0	1.3472222222222223	2.0	1.6927929109924182	2.8655478395061849
planetlab-workload-traces/20110303/node-1_mcgillplanetlab_org_tsinghua_xyz	1238	0	21	21	2.0	4.2986111111111107	4.0	2.2238600735080483	4.9455536265432221
planetlab-workload-traces/20110303/planet2_att_nodes_planet-lab_org_uw_trs2	1875	0	42	42	0.0	6.510416666666667	4.0	8.092342219911778	65.486002604166671
planetlab-workload-traces/20110303/planetlab1_clemson_edu_princeton_snap	21872	49	94	45	67.0	75.944444444444443	78.0	7.7975938042323305	60.802469135802433
planetlab-workload-traces/20110303/planetlab1_cs_columbia_edu_pl_drl	454	0	23	23	0.0	1.5763888888888888	1.0	2.7082175901193954	7.334442515432106
planetlab-workload-traces/20110303/planetlab-2_cmcl_cs_cmu_edu_arizona_nest	2333	0	48	48	0.0	8.1006944444444446	5.0	9.512433358853869	90.486388406635911
planetlab-workload-traces/20110303/planet11_csc_ncsu_edu_uw_oneswarm	3670	0	33	33	4.0	12.743055555555555	12.0	6.6809706212015341	44.635368441358011
planetlab-workload-traces/20110303/planetlab01_sys_virginia_edu_arizona_owl	564	0	82	82	0.0	1.9583333333333333	2.0	6.2665059819824958	39.269097222222399
planetlab-workload-traces/20110303/csplanetlab2_kaist_ac_kr_uw_seattle	480	0	30	30	0.0	1.6666666666666667	1.0	3.1622776601683826	10.00000000000002
planetlab-workload-traces/20110303/planetlab3_csres_utexas_edu_uw_trs2	2902	0	87	87	0.0	10.076388888888889	3.0	17.165485340061792	294.65388695987627
planetlab-workload-traces/20110303/thalescom-48-42_cnt_nerim_net_root	2436	5	69	64	7.0	8.4583333333333339	7.0	6.1766529501556633	38.151041666666657
planetlab-workload-traces/20110303/planetlab-2_fokus_fraunhofer_de_root	945	0	66	66	0.0	3.28125	1.0	7.4237369740395724	55.111870659722221
planetlab-workload-traces/20110303/planet2_scs_stanford_edu_root	6051	1	60	59	7.7000000000000028	21.010416666666668	21.0	9.5932862718181955	92.031141493055443
planetlab-workload-traces/20110303/planetlab1_nrl_dcs_qmul_ac_uk_ rnp_dcc_ufjf	7536	10	35	25	19.0	26.166666666666668	26.0	5.2261362400917148	27.312499999999968
planetlab-workload-traces/20110303/planetlab2_tau_ac_il_root	900	0	53	53	0.0	3.125	1.0	6.6837021926474254	44.671875
planetlab-workload-traces/20110303/planetlab-2_cmcl_cs_cmu_edu_ast_bwpred	3746	0	46	46	0.0	13.006944444444445	9.0	11.074555752174643	122.64578510802446
planetlab-workload-traces/20110303/plink_cs_uwaterloo_ca_ rnp_dcc_ufjf	7037	11	31	20	18.0	24.434027777777779	26.0	4.328822382756143	18.738703221450567
planetlab-workload-traces/20110303/planetlab2_netlab_uky_edu_root	14717	0	83	83	2.0	51.100694444444443	62.0	25.313594274091194	640.77805507330243
planetlab-workload-traces/20110303/kupl1_ittc_ku_edu_nyu_d	771	0	17	17	0.0	2.6770833333333335	2.0	2.9912887121978406	8.9478081597222161
planetlab-workload-traces/20110303/planetlab2_elet_polimi_it_tum_i2p	1447	0	30	30	0.0	5.0243055555555554	1.0	7.0200184643609775	49.280659239969062
planetlab-workload-traces/20110303/planetlab2_cs_pitt_edu_ rnp_dcc_ufjf	9867	22	39	17	29.0	34.260416666666664	35.0	3.5966172137085231	12.935655381944461
planetlab-workload-traces/20110303/planetlab2_eecs_ucf_edu_uw_oneswarm	2617	0	51	51	4.0	9.0868055555555554	8.0	5.944427204998366	35.336214795524683
planetlab-workload-traces/20110303/planet2_cc_gt_atl_ga_us_nyu_d	1167	0	15	15	0.0	4.052083333333333	4.0	2.9558197948660938	8.7368706597222356
planetlab-workload-traces/20110303/planetlab2_cs_uiuc_edu_princeton_codeen	6667	0	77	77	9.0	23.149305555555557	19.0	15.444859341324625	238.54368007330254
planetlab-workload-traces/20110303/pl1snu_koren21_net_usf_mobius_dm	884	0	43	43	0.0	3.0694444444444446	2.0	4.5394150041879815	20.606288580246972
planetlab-workload-traces/20110303/planetlab-1_iscte_pt_nyu_d	504	0	10	10	0.0	1.75	2.0	1.96143371598997	3.8472222222222219
planetlab-workload-traces/20110303/planet1_cs_rit_edu_uw_oneswarm	3862	0	44	44	6.0	13.409722222222221	13.0	6.3255579403063598	40.012683256172835
planetlab-workload-traces/20110303/plane-lab-pb1_uni-paderborn_de_princeton_codeen	1131	0	87	87	1.0	3.9270833333333335	3.0	5.8894528932613497	34.685655381944485
planetlab-workload-traces/20110303/planetlab1_cs_umass_edu_ethzple_bufsize	22147	15	98	83	48.0	76.899305555555557	81.0	18.262560352504195	333.5211106288582
planetlab-workload-traces/20110303/planetlab2_pop-mg_rnp_br_uw_oneswarm	1852	0	61	61	2.0	6.4305555555555554	6.0	4.4396458470145559	19.710455246913593
planetlab-workload-traces/20110303/planetlab2_cs_uit_no_uw_oneswarm	3047	0	32	32	4.0	10.579861111111111	9.0	5.4359155400436192	29.549177758487712
planetlab-workload-traces/20110303/pl2_grid_kiae_ru_root	1175	0	33	33	0.0	4.0798611111111107	2.0	6.5088516637506588	42.365149980709717
planetlab-workload-traces/20110303/planetlab03_mpi-sws_mpg_de_arizona_stork_install	4714	0	98	98	0.0	16.368055555555557	2.0	25.836087629455655	667.50342399691158
planetlab-workload-traces/20110303/planetlab-node3_it-sudparis_eu_uw_oneswarm	2212	0	39	39	2.7000000000000028	7.6805555555555554	7.0	5.3885846134028954	29.036844135802429
planetlab-workload-traces/20110303/planet1_prakinf_tu-ilmenau_de_princeton_codeen	5084	0	85	85	9.0	17.652777777777779	15.0	11.762593395806119	138.35860339506175
planetlab-workload-traces/20110303/planetlab-node3_it-sudparis_eu_irisaple_HEAP	2418	0	31	31	5.0	8.3958333333333339	9.0	3.389564766390452	11.489149305555561
planetlab-workload-traces/20110303/planetlab-2_cs_colostate_edu_princeton_codeen	1532	0	75	75	2.0	5.3194444444444446	4.0	4.9911766283915924	24.911844135802461
planetlab-workload-traces/20110303/jupiter_cs_brown_edu_princeton_codeen	3170	0	54	54	4.0	11.006944444444445	9.0	8.1887427197492784	67.055507330246797
planetlab-workload-traces/20110303/csplanetlab2_kaist_ac_kr_uka_p2pns	455	0	4	4	1.0	1.5798611111111112	2.0	0.81258160796240253	0.66028886959876365
planetlab-workload-traces/20110303/planetlab2_csuohio_edu_ rnp_dcc_ufjf	17458	11	76	65	52.0	60.618055555555557	61.0	8.3449889552701144	69.638840663580197
planetlab-workload-traces/20110303/planetlab1_unl_edu_nyu_d	782	0	12	12	0.0	2.7152777777777777	2.0	2.2365747448959006	5.0022665895061635
planetlab-workload-traces/20110303/planet1_zib_de_uw_oneswarm	3856	0	52	52	4.0	13.388888888888889	12.0	8.9334818948398862	79.807098765432045
planetlab-workload-traces/20110303/planet-lab2_uba_ar_uw_oneswarm	1697	0	15	15	2.0	5.8923611111111107	6.0	2.9765654112376794	8.8599416473765356
planetlab-workload-traces/20110303/planetlab4_cse_nd_edu_root	921	0	80	80	0.0	3.1979166666666665	2.0	6.3299658673601416	40.068467881944429
planetlab-workload-traces/20110303/planetlab-04_cs_princeton_edu_nyu_d	892	0	19	19	0.0	3.0972222222222223	2.0	2.8206073135557106	7.9558256172839634
planetlab-workload-traces/20110303/planetlab-2_sysu_edu_cn_uw_oneswarm	2129	0	31	31	2.0	7.3923611111111107	6.0	5.1487131599004581	26.509247202932158
planetlab-workload-traces/20110303/pl4_unm_edu_princeton_codeen	1936	2	13	11	4.0	6.7222222222222223	6.0	2.3450433674159896	5.4992283950617242
planetlab-workload-traces/20110303/eve_ee_ntu_edu_tw_uw_oneswarm	4457	4	36	32	9.0	15.475694444444445	15.0	6.0684263305125503	36.825798128858011
planetlab-workload-traces/20110303/planet-lab1_ufabc_edu_br_uw_oneswarm	6438	5	40	35	14.700000000000003	22.354166666666668	23.0	5.6056379729102463	31.4231770833333
planetlab-workload-traces/20110303/planetlab1_di_unito_it_ucr_slice4	236	0	3	3	0.0	0.81944444444444442	1.0	0.879178734338803	0.77295524691357953
planetlab-workload-traces/20110303/plab2_nec-labs_com_nyu_d	1724	0	84	84	2.0	5.9861111111111107	5.0	6.4619464206390544	41.756751543209887
planetlab-workload-traces/20110303/planet1_att_nodes_planet-lab_org_uw_seattle	425	0	16	16	0.0	1.4756944444444444	2.0	1.8103002562411867	3.2771870177469062
planetlab-workload-traces/20110303/planet2_att_nodes_planet-lab_org_uw_oneswarm	11163	9	81	72	21.700000000000003	38.760416666666664	38.0	13.259753845702086	175.82107204861126
planetlab-workload-traces/20110303/planetlab-01_bu_edu_irisaple_HEAP	2040	0	16	16	2.0	7.083333333333333	6.0	3.546320471825537	12.576388888888898
planetlab-workload-traces/20110303/planetlab1_inf_ethz_ch_usf_mobius_dm	578	0	11	11	0.0	2.0069444444444446	2.0	1.6645675438457566	2.7707851080246946
planetlab-workload-traces/20110303/planetlab1_fit_vutbr_cz_root	919	0	21	21	0.0	3.1909722222222223	2.0	3.0450874187972463	9.272557388117276
